user_address,asset,side,position_size,entry_price,mark_price,absolute_pnl,pnl_percent,realized_pnl,unrealized_pnl,leverage_ratio,is_negative_equity,was_liquidated,was_adl,trades_count,had_pre_existing_position
0x0158cbd97f5a76093014d7ca56a24a159d924ddc,BTC,SHORT,0.0,,108340.0,610.6968,,610.6968,0.0,,,False,False,1,True
0x015d3bf07a183908297393428be8f57742cd5225,SOL,LONG,1.7763568394002505e-15,,169.36,-1812.5609,,-1812.5609,0.0,,,False,False,3,True
0x0160f9895acd648a9df2aebef23c2c52baa1606a,BTC,SHORT,0.0,,108340.0,90.69308,,90.69308,0.0,,,False,True,1,True
0x0164f2c884a8e5525038fe80d57fac8bf9eff972,SOL,LONG,0.0,,169.36,-4.6822,,-4.6822,0.0,,,False,False,2,True
0x016a6d8dd871ab819daa2e0b807975cf1d2f6d8d,SOL,SHORT,0.0,,169.36,4.3056,,4.3056,0.0,,,False,False,1,True
0x016b8816db87f0a0f8190e3f2ca88357809984a9,SOL,SHORT,0.0,,169.36,45688.54,,45688.54,0.0,,,False,True,1,True
0x0173b65e22c3a09b029344f50a7c204dbb3ca751,SOL,SHORT,0.0,,169.36,46.261046,,46.261046,0.0,,,False,True,1,True
0x0176efc45b26b47e960d4b0d6f02c806db33a6cc,SOL,LONG,8.881784197001252e-16,,169.36,-229.863789,,-229.863789,0.0,,,False,False,2,True
0x01783e91d31c69633153c2aadbf9b7901049d03a,BTC,LONG,2.2963900000000055,,108340.0,-24005.493026999968,,-24005.493026999968,0.0,,,False,False,347,True
0x017932354d7db8a000922b28f53dd9424a3bf0a6,SOL,SHORT,0.0,,169.36,803.73382,,803.73382,0.0,,,False,True,1,True
0x017d3c7238068a88b3de1027474abf08f318a9e3,BTC,SHORT,0.0,,108340.0,1421.13438,,1421.13438,0.0,,,False,True,1,True
0x01816644a8baa84d127ead5c2d27f237eb21b7bc,SOL,SHORT,0.0,,169.36,12.198,,12.198,0.0,,,False,True,1,True
0x0189085b18addc3986da019220408a398eba64e6,SOL,LONG,180.0,,169.36,0.0,,0.0,0.0,,,False,False,8,True
0x01912e246afb84919fa44ee06aad2260005ee725,BTC,LONG,0.0,,108340.0,-18.479201,,-18.479201,0.0,,,False,False,1,True
0x01912e246afb84919fa44ee06aad2260005ee725,SOL,LONG,0.0,,169.36,-30.968135,,-30.968135,0.0,,,False,False,1,True
0x019837db6cfee81d136ef87e2dddf95af6f58ddc,SOL,SHORT,0.0,,169.36,50.225,,50.225,0.0,,,False,True,1,True
0x019b8eb20cd1365123b2af8040c40fed1224f2df,BTC,LONG,0.0,,108340.0,-68672.5240369999,,-68672.5240369999,0.0,,,True,False,56,True
0x01aaa530e5be9fef98232e6bc1b198e3ecaf6222,BTC,SHORT,0.0,,108340.0,-2139.626803,,-2139.626803,0.0,,,True,False,3,True
0x01abcf9015979dd5949e9ab7a9505a7b1bc93cc0,BTC,LONG,0.0,,108340.0,-1361.41119,,-1361.41119,0.0,,,False,False,1,True
0x01abcf9015979dd5949e9ab7a9505a7b1bc93cc0,SOL,LONG,0.0,,169.36,-3593.5116,,-3593.5116,0.0,,,False,False,1,True
0x01ad589f3015d85c4a4b50c74697d1256a856aef,BTC,SHORT,0.0,,108340.0,62.78115,,62.78115,0.0,,,False,True,1,True
0x01b05b78276d62764ba474c4ede66a0f6ead1e44,SOL,LONG,0.0,,169.36,-0.4654,,-0.4654,0.0,,,False,False,1,True
0x01b584d05f26ca555a7fafd7e5c167e00d4f4932,SOL,LONG,0.0,,169.36,-120.56,,-120.56,0.0,,,False,False,1,True
0x01b91481d85966be73af17e7ee792ef9af70248a,SOL,LONG,0.0,,169.36,-2334.4577609999997,,-2334.4577609999997,0.0,,,False,False,3,True
